utilizacao,tx_juros,vr_parcelas,log_renda_anual,idx_div_renda,pont_mutuario,saldo_rotativo,tx_util_credito,tx_juros_faixa,vr_parcelas_faixa,log_renda_anual_faixa,idx_div_renda_faixa,pont_mutuario_faixa,log_saldo_rotativo,log_saldo_rotativo_faixa,tx_util_credito_faixa,devedor,atende_criterios,consult_mutuario_cred,nro_reg_deprec,0-1__utilizacao_all_other,0-1__utilizacao_credit_card,0-1__utilizacao_debt_consolidation,0-1__utilizacao_educational,0-1__utilizacao_home_improvement,0-1__utilizacao_major_purchase,0-1__utilizacao_small_business,ord__tx_juros_faixa,ord__vr_parcelas_faixa,ord__log_renda_anual_faixa,ord__idx_div_renda_faixa,ord__pont_mutuario_faixa,ord__log_saldo_rotativo_faixa,ord__tx_util_credito_faixa
debt_consolidation,12.0,829.0,11.0,19.0,802.0,28854.0,52.1,"(10.0, 12.0]","(780.0, 910.0]","(10.0, 11.0]","(18.0, 19.0]","(800, 802]",4.0,"(3.0, 6.0]","(45.0, 60.0]",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,17.0,20.0,1.0,3.0
credit_card,11.0,228.0,11.0,14.0,707.0,33623.0,76.7,"(10.0, 12.0]","(130.0, 260.0]","(10.0, 11.0]","(13.0, 14.0]","(706, 708]",5.0,"(3.0, 6.0]","(75.0, 90.0]",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,12.0,10.0,1.0,5.0
debt_consolidation,14.000000000000002,367.0,10.0,12.0,682.0,3511.0,25.6,"(14.0, 16.0]","(260.0, 390.0]","(9.0, 10.0]","(11.0, 12.0]","(680, 682]",4.0,"(3.0, 6.0]","(15.0, 30.0]",0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,10.0,5.0,1.0,1.0
debt_consolidation,10.0,162.0,11.0,8.0,712.0,33667.0,73.2,"(8.0, 10.0]","(130.0, 260.0]","(10.0, 11.0]","(7.0, 8.0]","(710, 712]",5.0,"(3.0, 6.0]","(60.0, 75.0]",0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,11.0,1.0,4.0
credit_card,14.000000000000002,103.0,11.0,15.0,667.0,4740.0,39.5,"(14.0, 16.0]","(0.0, 130.0]","(10.0, 11.0]","(14.0, 15.0]","(666, 668]",4.0,"(3.0, 6.0]","(30.0, 45.0]",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,13.0,2.0,1.0,2.0
credit_card,8.0,125.0,12.0,17.0,727.0,50807.0,51.0,"(6.0, 8.0]","(0.0, 130.0]","(11.0, 12.0]","(16.0, 17.0]","(726, 728]",5.0,"(3.0, 6.0]","(45.0, 60.0]",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,14.0,1.0,3.0
debt_consolidation,15.0,194.0,11.0,4.0,667.0,3839.0,76.8,"(14.0, 16.0]","(130.0, 260.0]","(10.0, 11.0]","(3.0, 4.0]","(666, 668]",4.0,"(3.0, 6.0]","(75.0, 90.0]",1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,2.0,1.0,5.0
all_other,11.0,131.0,11.0,11.0,722.0,24220.0,68.6,"(10.0, 12.0]","(130.0, 260.0]","(10.0, 11.0]","(10.0, 11.0]","(720, 722]",4.0,"(3.0, 6.0]","(60.0, 75.0]",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,9.0,13.0,1.0,4.0
home_improvement,11.0,87.0,11.0,17.0,682.0,69909.0,51.1,"(10.0, 12.0]","(0.0, 130.0]","(10.0, 11.0]","(16.0, 17.0]","(680, 682]",5.0,"(3.0, 6.0]","(45.0, 60.0]",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,15.0,5.0,1.0,3.0
debt_consolidation,12.0,84.0,10.0,10.0,707.0,5630.0,23.0,"(10.0, 12.0]","(0.0, 130.0]","(9.0, 10.0]","(9.0, 10.0]","(706, 708]",4.0,"(3.0, 6.0]","(15.0, 30.0]",0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,10.0,1.0,1.0
