local,data,hora,lat,long,umidade,t_ex,t1,t2,t3,t4,t5,t6,t7,t8,data_hora,temp
1,01/08/2023,00:09:30,-18.918173,-48.230431,47.418488,25.892607,24.409178,24.427492,24.427492,24.427549,24.427597,24.427624,24.423851,24.415396,2023-01-08 00:09:30,24.423272374999996
1,01/08/2023,00:19:30,-18.918213,-48.230457,47.540405,25.869171,24.345068,24.364992,24.364992,24.365047,24.365095,24.365124,24.35923,24.351067,2023-01-08 00:19:30,24.360076875
1,01/08/2023,00:29:30,-18.91828,-48.230495,47.464645,25.812103,24.2691,24.302492,24.297718,24.280001,24.270069,24.26536,24.271393,24.273392,2023-01-08 00:29:30,24.278690624999996
1,01/08/2023,00:39:30,-18.918213,-48.230446,47.419193,25.660603,24.214598,24.221876,24.217857,24.204088,24.19779,24.205063,24.211004,24.215107,2023-01-08 00:39:30,24.210922874999998
1,01/08/2023,00:49:30,-18.918257,-48.230518,47.535355,25.644939,24.157568,24.172058,24.175756,24.176691,24.176956,24.177114,24.167929,24.163687,2023-01-08 00:49:30,24.170969875
1,01/08/2023,00:59:30,-18.918217,-48.230457,47.424244,25.609079,24.105696,24.110462,24.112822,24.112764,24.113394,24.113768,24.114016,24.111784,2023-01-08 00:59:30,24.111838249999998
1,01/08/2023,01:09:30,-18.918148,-48.230434,47.166668,25.467169,24.052874,24.076948,24.078533,24.071951,24.066198,24.063461,24.061649,24.058916,2023-01-08 01:09:30,24.06631625
1,01/08/2023,01:19:30,-18.918221,-48.23045,47.176769,25.413635,23.984692,23.961006,23.976103,23.980913,23.987118,23.989443,23.989576,23.989672,2023-01-08 01:19:30,23.982315375
1,01/08/2023,01:29:30,-18.918207,-48.230446,47.060608,25.347979,23.907673,23.865898,23.865425,23.885593,23.89698,23.904247,23.908215,23.910673,2023-01-08 01:29:30,23.893088000000002
1,01/08/2023,01:39:30,-18.918182,-48.230457,47.257576,25.316149,23.894203,23.926586,23.927057,23.927259,23.922705,23.911869,23.903992,23.89839,2023-01-08 01:39:30,23.914007625
1,01/08/2023,01:49:30,-18.9182,-48.230469,47.198654,25.221865,23.829494,23.864086,23.835478,23.844212,23.838732,23.839207,23.838253,23.833361,2023-01-08 01:49:30,23.840352874999997
1,01/08/2023,01:59:30,-18.918207,-48.230457,47.658249,25.133989,23.771097,23.797962,23.800322,23.800545,23.798977,23.787207,23.780117,23.775558,2023-01-08 01:59:30,23.788973125
1,01/08/2023,02:09:30,-18.91819,-48.23048,47.929295,25.103027,23.732166,23.739992,23.739992,23.740042,23.738815,23.738766,23.738731,23.737022,2023-01-08 02:09:30,23.73819075
1,01/08/2023,02:19:30,-18.918167,-48.230473,47.772728,24.945959,23.673876,23.677492,23.677492,23.677542,23.677591,23.67762,23.676373,23.676208,2023-01-08 02:19:30,23.67677425
1,01/08/2023,02:29:30,-18.918207,-48.230438,47.848484,24.985348,23.598013,23.614992,23.614992,23.615042,23.615091,23.61512,23.610353,23.602388,2023-01-08 02:29:30,23.610748875
1,01/08/2023,02:39:30,-18.918173,-48.230495,48.0,24.869034,23.55077,23.556116,23.554228,23.553684,23.553442,23.553299,23.553204,23.553015,2023-01-08 02:39:30,23.553469749999998
1,01/08/2023,02:49:30,-18.918179,-48.23048,48.010101,24.774738,23.489531,23.489992,23.489992,23.49004,23.490089,23.490118,23.490137,23.490152,2023-01-08 02:49:30,23.490006375
1,01/08/2023,02:59:30,-18.918188,-48.230465,48.055557,24.771557,23.427452,23.427492,23.433134,23.431822,23.430779,23.430159,23.429749,23.429459,2023-01-08 02:59:30,23.43000575
1,01/08/2023,03:09:30,-18.918207,-48.230453,48.126263,24.692413,23.392834,23.42568,23.426624,23.42697,23.421425,23.409664,23.402159,23.396824,2023-01-08 03:09:30,23.412772500000003
1,01/08/2023,03:19:30,-18.918167,-48.230453,48.78788,24.623249,23.339699,23.364086,23.35935,23.359333,23.360626,23.357834,23.351202,23.345041,2023-01-08 03:19:30,23.354646374999998
1,01/08/2023,03:29:30,-18.918163,-48.230461,48.964645,24.556545,23.279409,23.30068,23.301624,23.30197,23.294937,23.290592,23.290531,23.283625,2023-01-08 03:29:30,23.292921000000003
1,01/08/2023,03:39:30,-18.918232,-48.230473,49.0,24.459585,23.231535,23.239994,23.239992,23.240038,23.240088,23.23707,23.237463,23.237864,2023-01-08 03:39:30,23.2380055
1,01/08/2023,03:49:30,-18.918182,-48.230465,49.0,24.370188,23.176821,23.177494,23.177057,23.177254,23.177376,23.177448,23.177496,23.17705,2023-01-08 03:49:30,23.1772495
1,01/08/2023,03:59:30,-18.918249,-48.230484,49.429295,24.358578,23.125263,23.160284,23.156658,23.143578,23.136347,23.132055,23.129213,23.127193,2023-01-08 03:59:30,23.138823875
1,01/08/2023,04:09:30,-18.918253,-48.230469,49.78788,24.231787,23.060553,23.113182,23.083307,23.073656,23.068533,23.065321,23.063194,23.061684,2023-01-08 04:09:30,23.07367875
1,01/08/2023,04:19:30,-18.918188,-48.230473,50.0,24.161606,23.024042,23.046154,23.043812,23.046831,23.046423,23.042793,23.035463,23.028929,2023-01-08 04:19:30,23.039305875
1,01/08/2023,04:29:30,-18.918224,-48.230469,50.010101,24.13217,22.957647,22.972784,22.977839,22.974054,22.977119,22.973009,22.96719,22.961971,2023-01-08 04:29:30,22.970201624999998
1,01/08/2023,04:39:30,-18.918188,-48.230438,50.0,24.13134,22.904196,22.927494,22.927492,22.927536,22.927588,22.926769,22.916937,22.909706,2023-01-08 04:39:30,22.92096475
1,01/08/2023,04:49:30,-18.918213,-48.230534,50.025253,24.064293,22.859268,22.864088,22.864557,22.86475,22.864662,22.864777,22.86429,22.864428,2023-01-08 04:49:30,22.8638525
