Date,Open,High,Low,Close,Volume,Open_Interest,Year
1999-01-04,567.0,570.0,566.0,569.0,14.0,312.0,1999
1999-01-05,570.5,574.0,570.5,573.5,12.0,323.0,1999
1999-01-06,574.0,579.0,574.0,577.0,43.0,329.0,1999
1999-01-07,574.5,575.75,574.0,574.25,69.0,348.0,1999
1999-01-08,579.0,581.0,579.0,580.5,61.0,345.0,1999
1999-01-11,577.0,577.0,572.5,572.5,13.0,357.0,1999
1999-01-12,564.25,564.5,561.0,561.5,6.0,358.0,1999
1999-01-13,554.5,556.0,553.0,554.5,68.0,378.0,1999
1999-01-14,555.0,555.0,554.5,554.5,74.0,413.0,1999
1999-01-15,555.0,555.0,553.5,553.5,7.0,414.0,1999
1999-01-19,550.0,550.0,546.5,548.5,69.0,450.0,1999
1999-01-20,551.5,552.5,550.0,552.0,10.0,454.0,1999
1999-01-21,554.5,555.0,552.5,554.5,28.0,477.0,1999
1999-01-22,554.5,554.5,551.0,551.0,98.0,518.0,1999
1999-01-25,543.5,544.0,539.0,542.0,34.0,519.0,1999
1999-01-26,542.0,543.5,539.0,539.0,16.0,507.0,1999
1999-01-27,537.0,540.0,535.0,535.0,31.0,526.0,1999
1999-01-28,535.5,539.25,534.0,534.0,59.0,519.0,1999
1999-01-29,534.5,535.5,533.75,534.0,94.0,634.0,1999
1999-02-01,533.0,534.5,530.5,534.0,25.0,631.0,1999
1999-02-02,537.0,542.0,537.0,539.0,48.0,640.0,1999
1999-02-03,543.5,545.0,535.5,535.5,23.0,640.0,1999
1999-02-04,534.0,537.0,533.25,536.25,20.0,646.0,1999
1999-02-05,537.0,541.0,537.0,541.0,13.0,639.0,1999
1999-02-08,540.5,542.5,537.0,537.0,9.0,641.0,1999
1999-02-09,535.5,535.5,530.0,530.0,21.0,640.0,1999
1999-02-10,530.0,530.5,526.5,528.75,20.0,642.0,1999
1999-02-11,530.0,530.0,526.0,526.0,4.0,643.0,1999
1999-02-12,527.5,527.5,524.0,524.0,138.0,671.0,1999
1999-02-16,521.0,521.0,521.0,521.0,1.0,672.0,1999
1999-02-17,520.0,520.5,516.5,520.5,38.0,703.0,1999
1999-02-18,519.0,520.0,516.5,517.5,51.0,729.0,1999
1999-02-19,516.0,516.0,511.5,511.5,36.0,732.0,1999
1999-02-22,506.0,506.5,501.0,506.25,54.0,761.0,1999
1999-02-23,507.5,509.5,506.5,506.5,257.0,854.0,1999
1999-02-24,500.0,500.0,492.5,493.0,189.0,916.0,1999
1999-02-25,490.5,495.5,490.5,492.0,12.0,892.0,1999
1999-02-26,490.5,494.75,490.5,493.0,210.0,1043.0,1999
1999-03-01,494.0,500.0,494.0,496.75,71.0,1054.0,1999
1999-03-02,497.0,504.0,495.0,504.0,85.0,1015.0,1999
1999-03-03,502.0,503.0,501.0,501.5,46.0,1057.0,1999
1999-03-04,501.0,506.5,500.0,500.5,81.0,1069.0,1999
1999-03-05,494.5,497.5,493.0,497.5,60.0,1076.0,1999
1999-03-08,501.5,505.5,500.0,504.0,51.0,1096.0,1999
1999-03-09,506.0,509.5,502.0,504.0,44.0,1112.0,1999
1999-03-10,501.0,507.0,499.5,507.0,60.0,1139.0,1999
1999-03-11,505.5,508.5,502.5,506.5,52.0,1149.0,1999
1999-03-12,506.0,506.0,500.0,503.0,110.0,1112.0,1999
1999-03-15,499.5,501.0,497.5,500.5,45.0,1134.0,1999
1999-03-16,502.5,511.0,500.0,511.0,61.0,1167.0,1999
1999-03-17,510.75,520.0,510.75,511.25,303.0,1263.0,1999
1999-03-18,511.25,516.0,510.5,514.0,96.0,1282.0,1999
1999-03-19,514.5,521.5,514.0,521.5,115.0,1302.0,1999
1999-03-22,520.0,531.5,520.0,531.25,221.0,1405.0,1999
1999-03-23,527.0,528.0,525.0,525.25,123.0,1425.0,1999
1999-03-24,529.0,532.0,517.0,518.5,351.0,1533.0,1999
1999-03-25,514.5,529.0,514.0,529.0,276.0,1526.0,1999
1999-03-26,529.0,532.5,526.0,527.5,171.0,1438.0,1999
1999-03-29,523.5,527.0,520.5,526.5,110.0,1418.0,1999
1999-03-30,529.0,533.0,527.0,533.0,232.0,1406.0,1999
1999-03-31,536.5,537.0,516.0,516.5,69.0,1389.0,1999
1999-04-01,516.0,518.5,511.0,517.0,329.0,1615.0,1999
1999-04-05,513.0,521.0,513.0,516.5,377.0,1816.0,1999
1999-04-06,517.25,517.25,512.0,512.0,439.0,1746.0,1999
1999-04-07,508.5,513.0,508.5,513.0,94.0,1726.0,1999
1999-04-08,511.0,515.0,511.0,511.75,41.0,1729.0,1999
1999-04-09,511.5,516.0,511.5,514.75,175.0,1846.0,1999
1999-04-12,516.0,517.0,512.0,514.0,528.0,2161.0,1999
1999-04-13,515.0,518.5,515.0,518.5,152.0,2249.0,1999
1999-04-14,520.5,526.5,520.0,522.5,388.0,2327.0,1999
1999-04-15,522.0,526.5,522.0,524.5,228.0,2422.0,1999
1999-04-16,523.5,526.0,520.5,522.0,157.0,2436.0,1999
